key	objective	scope	acceptance
GOV-001	Establish enforceable repository governance for the main branch and pull-request lifecycle.	Define branch protection or repository rulesets; require pull-request-based changes; require applicable status checks; prevent accidental destructive changes; document governance behavior and administrative recovery procedures.	Main branch governance is enabled and verified; direct-change controls are tested; required validation checks are enforced where supported; governance configuration and evidence are documented.
GOV-002	Implement reusable automation for provisioning and validating the GitHub project-management control plane.	Automate project creation and metadata; milestones; labels; project fields; backlog configuration; validation; issue creation; project population; and supported project-management configuration using idempotent scripts.	Automation can be rerun safely; duplicate resources are not created; desired state is validated against GitHub; failures return nonzero status; commands and troubleshooting are documented.
GOV-003	Establish standardized GitHub issue and pull-request templates for engineering work.	Create templates that capture objective, scope, security requirements, validation, documentation, dependencies, acceptance criteria, and engineering traceability.	New engineering work can use consistent templates; required review and validation information is represented; templates render correctly in GitHub; repository standards document their use.
GOV-004	Establish repository ownership, review responsibilities, and human approval expectations.	Define ownership boundaries; review responsibilities; CODEOWNERS strategy where appropriate; AI-assisted review role; human approval expectations; and escalation procedures for sensitive changes.	Ownership and review responsibilities are documented; applicable ownership automation is implemented; security-sensitive changes have an identified review path; human review remains part of the merge lifecycle.
GOV-005	Build a reusable bootstrap process for preparing an engineering workstation or administration host.	Automate validation or installation guidance for required engineering tools; verify versions and dependencies; avoid storing credentials; support repeatable environment preparation; and document prerequisites.	A clean supported host can follow the bootstrap process; required tools are validated; missing dependencies are reported clearly; credential material is not embedded; bootstrap commands are documented.
GOV-006	Establish repository-wide validation and quality gates for engineering changes.	Define deterministic validation for repository structure, shell scripts, documentation, Infrastructure as Code, security-sensitive files, and future workload configuration; integrate appropriate checks with pull requests.	Local and CI validation provide consistent results; failures block applicable pull requests; sensitive-file checks are present; validation behavior and extension points are documented.
GOV-007	Establish architecture decision and engineering evidence standards for the portfolio.	Define how architecture decisions, implementation evidence, command history, validation results, troubleshooting records, diagrams, and operational findings are stored and referenced.	Reusable documentation structures exist; engineering decisions can be traced to implementation; validation evidence has a defined location; troubleshooting knowledge can be retained without exposing secrets.
IAM-001	Design the enterprise AWS identity and access management architecture.	Define the lab identity model; administrative and engineering access patterns; role-based access strategy; human versus workload identities; least-privilege boundaries; authentication expectations; and separation of responsibilities.	IAM architecture is documented; identity types and trust boundaries are defined; administrative access is separated from workload access; least-privilege principles are represented; implementation requirements can be traced to the design.
IAM-002	Implement foundational IAM roles and least-privilege policies using Infrastructure as Code.	Create reusable IAM roles, trust policies, managed or inline policies where appropriate, and permission boundaries where required; avoid broad wildcard permissions unless technically justified and documented.	IAM resources are deployed through IaC; trust relationships are validated; policies follow least privilege; wildcard permissions are reviewed and justified; Terraform validation and applicable security checks pass.
IAM-003	Implement secure administrative access and privilege-elevation patterns.	Define administrative roles; minimize persistent high privilege; require controlled role assumption; document emergency or break-glass considerations; validate authentication and authorization behavior; and preserve auditable access paths.	Administrative access requires an intentional privilege-elevation path; standing privilege is minimized; role assumption is tested; unauthorized access attempts fail as expected; administrative procedures and evidence are documented.
